Feld;Distanz;Spad;Target
0;-4;478242;4
1;-8;388909;4
2;-9;363591;4
3;-8;340648;4
4;-8;323329;4
5;5;190352;5
6;11;75558;5
7;12;47163;5
8;0;285680;4
9;-4;318666;4
10;-1;287985;4
11;-1;274089;4
12;0;276973;4
13;3;221074;4
14;11;107880;5
15;14;44190;5
16;3;214889;4
17;4;218749;5
18;5;221145;5
19;2;216857;4
20;1;225908;4
21;2;210291;4
22;10;121081;5
23;17;47883;5
24;11;141158;5
25;11;146460;5
26;9;146320;5
27;8;153214;5
28;5;170439;5
29;8;172330;5
30;9;124315;5
31;16;51895;5
32;14;104781;5
33;13;110953;5
34;15;111530;5
35;14;108432;5
36;12;112819;5
37;12;112670;5
38;13;100748;5
39;17;52400;5
40;21;57721;5
41;20;58965;5
42;19;60249;5
43;19;65117;5
44;20;62327;5
45;22;61590;5
46;21;61997;5
47;22;38889;5
48;26;36259;5
49;26;39912;5
50;22;39812;5
51;22;44119;5
52;24;43660;5
53;23;41053;5
54;24;39906;5
55;25;28380;5
56;20;18498;5
57;21;19076;5
58;21;19837;5
59;19;20718;5
60;17;19360;5
61;16;16910;5
62;18;15072;5
63;18;15529;5

Feld;Distanz;Spad;Target
0;-3;476655;4
1;-6;387409;4
2;-7;361597;4
3;-7;340020;4
4;-7;322941;4
5;7;190422;5
6;12;75332;5
7;14;47628;5
8;0;283686;4
9;-2;317444;4
10;0;287017;4
11;0;272738;4
12;0;276208;4
13;4;221279;5
14;13;107209;5
15;15;44757;5
16;4;214895;5
17;6;218457;5
18;6;219837;5
19;3;216306;4
20;2;225435;4
21;3;210555;4
22;12;120668;5
23;18;48307;5
24;12;140567;5
25;12;146022;5
26;10;146680;5
27;8;152158;5
28;6;168656;5
29;10;171552;5
30;11;124807;5
31;17;51907;5
32;15;104744;5
33;15;110759;5
34;17;110828;5
35;15;108532;5
36;14;112487;5
37;13;112416;5
38;14;100997;5
39;18;51363;5
40;25;57501;5
41;22;59320;5
42;22;60505;5
43;20;64754;5
44;21;62666;5
45;23;61571;5
46;24;61954;5
47;24;38645;5
48;27;35918;5
49;26;39679;5
50;25;40086;5
51;23;44109;5
52;25;43871;5
53;24;40900;5
54;26;40243;5
55;27;28175;5
56;21;18256;5
57;21;18909;5
58;23;19638;5
59;21;20913;5
60;18;19428;5
61;18;16881;5
62;19;14823;5
63;18;15513;5

Feld;Distanz;Spad;Target
